radeg,"raerr("")",decdeg,"decerr("")",Johnson_V (V),Verr,Johnson_B (B),Berr,Sloan_g (SG),SGerr,Sloan_r (SR),SRerr
196.179125,0.305,-10.133779,0.348,13.925,0.023,14.589,0.022,14.22,0.01,13.799,0.018
196.276746,0.453,-10.310547,0.2,13.972,0.024,14.708,0.028,14.292,0.01,13.782,0.016
195.842714,0.268,-10.450022,0.196,14,0.02,14.786,0.029,14.325,0.015,13.745,0.032
196.242491,0.359,-10.169578,0.29,13.968,0.027,14.758,0.036,14.342,0.024,13.707,0.019
195.902495,0.251,-10.19826,0.237,14.047,0.029,15.123,0.044,14.585,0.029,13.701,0.028
195.950823,0.428,-10.140019,0.201,13.764,0.016,14.484,0.072,14.088,0.04,13.616,0.025
195.983955,0.365,-10.319167,0.325,14.13,0.02,15.508,0.047,14.847,0.019,13.552,0.035
195.935354,0.253,-10.474583,0.642,13.692,0.017,14.361,0.035,13.989,0.045,13.548,0.035
196.059793,0.631,-10.339628,1.132,13.916,0.015,15.088,0.023,14.4,0.022,13.535,0.032
196.032891,0.265,-10.287267,0.333,13.701,0.035,14.518,0.029,14.088,0.03,13.477,0.026
195.882117,0.308,-10.380625,0.255,13.589,0.028,14.189,0.042,13.821,0.022,13.449,0.028
195.773417,0.207,-10.30255,0.303,13.558,0.016,14.332,0.029,13.918,0.026,13.367,0.019
196.097327,0.267,-10.570552,0.298,13.578,0.023,14.381,0.014,13.948,0.022,13.362,0.031
195.919573,0.207,-10.053758,0.275,13.493,0.024,14.164,0.042,13.768,0.019,13.329,0.036
196.123387,0.209,-10.554698,0.195,13.073,0.01,13.662,0.014,13.315,0.008,12.944,0.018
195.852656,0.175,-10.242948,0.196,13.186,0.014,14.438,0.042,13.807,0.032,12.801,0.022
196.004689,0.195,-10.57358,0.188,12.906,0.012,13.825,0.022,13.336,0.035,12.656,0.016
196.11156,0.219,-10.49663,0.164,12.788,0.015,13.674,0.016,13.185,0.003,12.531,0.024
196.241162,0.127,-10.429899,0.145,12.641,0.022,13.26,0.019,12.905,0.012,12.469,0.023
195.723451,0.195,-10.309466,0.15,12.623,0.015,13.543,0.034,13.067,0.019,12.349,0.026
195.811665,0.14,-10.184941,0.122,12.247,0.018,12.726,0.033,12.465,0.027,12.173,0.019
196.242471,0.227,-10.299532,0.155,12.525,0.031,13.507,0.017,12.98,0.016,12.154,0.033
196.024484,0.153,-10.423624,0.15,12.429,0.035,13.418,0.025,12.864,0.01,12.098,0.018
195.782919,0.18,-10.323343,0.108,11.876,0.016,12.559,0.034,12.165,0.026,11.722,0.016
196.100986,0.141,-10.439973,0.098,11.841,0.013,12.378,0.022,12.069,0.016,11.721,0.022
195.917831,0.2,-10.178061,0.137,11.912,0.025,13.029,0.036,12.424,0.017,11.543,0.032
196.180487,0.163,-10.220526,0.09,11.587,0.038,12.628,0.019,12.075,0.033,11.266,0.021
196.173186,0.139,-10.371864,0.089,11.307,0.019,11.932,0.019,11.656,0.109,11.174,0.023
196.240914,0.141,-10.304838,0.15,10.967,0.02,11.688,0.03,11.344,0.086,10.769,0.034
195.826025,0.14,-10.181388,0.096,10.43,0.013,11.025,0.042,10.84,0.198,10.291,0.023
