radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
195.693151,0.56,-10.569245,0.523,16.833,0.111,4,17.705,0.21,4,NA,NA,0,17.321,0.127,5,16.488,0.072,5,16.132,0.149,5,NA,NA,0,NA,NA,0
195.693724,0.541,-10.479005,0.342,17.354,0.093,5,17.756,0.179,5,NA,NA,0,17.483,0.068,5,17.356,0.133,5,NA,NA,0,NA,NA,0,NA,NA,0
195.694681,0.643,-10.279286,0.626,NA,NA,0,NA,NA,0,NA,NA,0,18.166,0.153,2,17.216,0,2,NA,NA,0,NA,NA,0,NA,NA,0
195.695708,0.236,-10.428473,0.233,14.608,0.014,5,15.448,0.046,5,NA,NA,0,14.991,0.023,5,14.344,0.029,5,14.147,0.05,5,13.635,0.187,1,NA,NA,0
195.695961,0.782,-10.162399,0.602,17.135,0.082,3,17.914,0.33,3,NA,NA,0,17.662,0.168,5,16.711,0.067,5,16.233,0.14,4,NA,NA,0,NA,NA,0
195.69677,0.824,-10.274762,0.383,17.509,0.145,2,17.805,0.131,2,NA,NA,0,17.678,0.159,2,17.472,0.088,2,NA,NA,0,NA,NA,0,NA,NA,0
195.700078,0.21,-10.271299,0.163,15.761,0.027,5,16.413,0.063,5,NA,NA,0,16.035,0.043,5,15.577,0.017,5,15.484,0.137,5,NA,NA,0,NA,NA,0
195.701491,0.173,-10.236975,0.221,13.334,0.018,5,13.947,0.038,5,NA,NA,0,13.601,0.02,5,13.177,0.023,5,13.079,0.035,5,12.902,0.131,3,NA,NA,0
195.706765,0.251,-10.257833,0.21,14.511,0.022,5,15.628,0.094,5,NA,NA,0,15.035,0.034,5,14.148,0.019,5,13.859,0.06,5,13.576,0.185,1,NA,NA,0
195.707512,0.688,-10.142085,0.236,16.167,0.074,5,16.897,0.149,5,NA,NA,0,16.551,0.053,5,15.985,0.043,5,15.849,0.125,5,NA,NA,0,NA,NA,0
195.708458,0.531,-10.423732,0.374,NA,NA,0,NA,NA,0,NA,NA,0,17.876,0.049,3,17.438,0.225,3,NA,NA,0,NA,NA,0,NA,NA,0
